
* Freq(Hz)	SPL(dB)	Phase(degrees)
1836.523	85.056	0
1863.236	85.142	0
1890.338	85.223	0
1917.833	85.298	0
1945.729	85.367	0
1974.030	85.429	0
2002.743	85.484	0
2031.873	85.532	0
2061.428	85.575	0
2091.412	85.614	0
2121.832	85.650	0
2152.695	85.684	0
2184.007	85.716	0
2215.774	85.746	0
2248.003	85.775	0
2280.701	85.802	0
2313.874	85.828	0
2347.530	85.852	0
2381.676	85.874	0
2416.318	85.894	0
2451.464	85.913	0
2487.122	85.930	0
2523.298	85.945	0
2560.000	85.959	0
2597.236	85.971	0
2635.014	85.981	0
2673.341	85.989	0
2712.226	85.996	0
2751.676	86.001	0
2791.700	86.004	0
2832.306	86.006	0
2873.503	86.006	0
2915.299	86.006	0
2957.703	86.005	0
3000.724	86.003	0
3044.370	86.002	0
3088.652	86.000	0
3133.577	85.998	0
3179.156	85.996	0
3225.398	85.992	0
3272.312	85.987	0
3319.909	85.981	0
3368.198	85.973	0
3417.190	85.964	0
3466.894	85.955	0
3517.321	85.943	0
3568.482	85.931	0
3620.387	85.918	0
3673.046	85.903	0
3726.472	85.888	0
3780.675	85.872	0
3835.666	85.855	0
3891.457	85.837	0
3948.060	85.820	0
4005.486	85.803	0
4063.747	85.786	0
4122.855	85.770	0
4182.824	85.755	0
4243.664	85.739	0
4305.390	85.722	0
4368.013	85.705	0
4431.547	85.687	0
4496.005	85.668	0
4561.401	85.648	0
4627.749	85.628	0
4695.061	85.606	0
4763.352	85.583	0
4832.637	85.558	0
4902.929	85.532	0
4974.244	85.505	0
5046.596	85.475	0
5120.000	85.443	0
5194.472	85.409	0
5270.027	85.374	0
5346.682	85.337	0
5424.451	85.299	0
5503.352	85.259	0
5583.399	85.218	0
5664.612	85.177	0
5747.006	85.135	0
5830.598	85.094	0
5915.406	85.055	0
6001.447	85.019	0
6088.740	84.987	0
6177.303	84.958	0
6267.154	84.932	0
6358.312	84.905	0
6450.796	84.878	0
6544.625	84.849	0
6639.818	84.818	0
6736.397	84.784	0
6834.380	84.748	0
6933.789	84.707	0
7034.643	84.663	0
7136.964	84.613	0
7240.773	84.559	0
7346.093	84.498	0
7452.944	84.430	0
7561.350	84.354	0
7671.332	84.266	0
7782.915	84.163	0
7896.120	84.040	0
8010.971	83.889	0
8127.493	83.709	0
8245.711	83.501	0
8365.647	83.272	0
8487.328	83.025	0
8610.779	82.768	0
8736.026	82.502	0
8863.095	82.231	0
8992.011	81.957	0
9122.803	81.682	0
9255.497	81.408	0
9390.121	81.138	0
9526.704	80.877	0
9665.273	80.628	0
9805.857	80.400	0
9948.487	80.198	0
10093.191	80.027	0
10240.000	79.886	0
10388.944	79.766	0
10540.055	79.662	0
10693.363	79.565	0
10848.902	79.474	0
11006.703	79.387	0
11166.799	79.302	0
11329.224	79.219	0
11494.012	79.140	0
11661.195	79.062	0
11830.812	78.987	0
12002.895	78.914	0
12177.480	78.843	0
12354.606	78.775	0
12534.309	78.709	0
12716.624	78.644	0
12901.592	78.582	0
13089.250	78.521	0
13279.637	78.462	0
13472.794	78.404	0
13668.760	78.348	0
13867.577	78.293	0
14069.285	78.239	0
14273.928	78.185	0
14481.547	78.133	0
14692.186	78.081	0
14905.889	78.032	0
15122.700	77.986	0
15342.664	77.943	0
15565.829	77.903	0
15792.239	77.865	0
16021.942	77.830	0
16254.986	77.797	0
16491.422	77.767	0
16731.295	77.738	0
16974.656	77.711	0
17221.559	77.686	0
17472.053	77.663	0
17726.189	77.641	0
17984.021	77.620	0
18245.605	77.601	0
18510.994	77.584	0
18780.242	77.567	0
19053.408	77.552	0
19330.547	77.538	0
19611.715	77.527	0
19896.975	77.520	0
