* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/PEQ/(scaffold).txt
* Format: Comma/Tab/Space delimited data
* Dated: Apr 3, 2022 4:13:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/PEQ/(scaffold).txt Format: Comma/Tab/Space delimited data 8 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: (scaffold)
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
400.000000	101.304512	0
406.000000	101.283340	0
412.000000	101.262489	0
418.000000	101.241936	0
425.000000	101.218307	0
431.000000	101.198395	0
437.000000	101.178726	0
444.000000	101.156136	0
450.000000	101.137054	0
455.000000	101.121346	0
462.000000	101.099632	0
468.000000	101.081291	0
475.000000	101.060181	0
482.000000	101.039391	0
487.000000	101.024704	0
494.000000	101.004417	0
500.000000	100.987251	0
508.000000	100.964691	0
515.000000	100.945229	0
522.000000	100.926033	0
530.000000	100.904411	0
538.000000	100.883118	0
545.000000	100.864731	0
552.000000	100.846588	0
560.000000	100.826134	0
570.000000	100.800972	0
580.000000	100.776237	0
590.000000	100.751938	0
600.000000	100.728050	0
608.000000	100.709213	0
615.000000	100.692932	0
622.000000	100.676834	0
630.000000	100.658676	0
640.000000	100.636292	0
650.000000	100.614250	0
660.000000	100.592545	0
670.000000	100.571182	0
680.000000	100.550133	0
690.000000	100.529404	0
700.000000	100.508972	0
710.000000	100.488846	0
720.000000	100.469025	0
730.000000	100.449501	0
740.000000	100.430283	0
750.000000	100.411346	0
762.000000	100.389069	0
775.000000	100.365479	0
788.000000	100.342506	0
800.000000	100.321930	0
812.000000	100.302040	0
825.000000	100.281425	0
838.000000	100.261955	0
850.000000	100.245239	0
862.000000	100.230019	0
875.000000	100.215576	0
885.000000	100.206223	0
900.000000	100.195694	0
912.000000	100.190887	0
925.000000	100.190010	0
938.000000	100.194374	0
950.000000	100.203682	0
962.000000	100.218567	0
975.000000	100.241486	0
988.000000	100.271767	0
1000.000000	100.306274	0
1015.000000	100.357979	0
1030.000000	100.418472	0
1044.000000	100.481895	0
1060.000000	100.561218	0
1075.000000	100.640884	0
1090.000000	100.724426	0
1106.000000	100.816635	0
1120.000000	100.899094	0
1138.000000	101.006577	0
1150.000000	101.078697	0
1172.000000	101.211128	0
1180.000000	101.259186	0
1206.000000	101.414482	0
1220.000000	101.497322	0
1241.000000	101.620331	0
1250.000000	101.672562	0
1265.000000	101.758904	0
1280.000000	101.844376	0
1315.000000	102.040283	0
1320.000000	102.067871	0
1340.000000	102.177223	0
1360.000000	102.285004	0
1380.000000	102.391251	0
1400.000000	102.495987	0
1430.000000	102.650330	0
1450.000000	102.751457	0
1475.000000	102.875923	0
1500.000000	102.998299	0
1525.000000	103.118652	0
1550.000000	103.237061	0
1575.000000	103.353577	0
1600.000000	103.468254	0
1625.000000	103.581139	0
1650.000000	103.692329	0
1675.000000	103.801842	0
1700.000000	103.909714	0
1725.000000	104.016006	0
1750.000000	104.120796	0
1775.000000	104.224083	0
1800.000000	104.325928	0
1825.000000	104.426361	0
1850.000000	104.525436	0
1875.000000	104.623177	0
1900.000000	104.719620	0
1925.000000	104.814804	0
1950.000000	104.908752	0
1975.000000	105.001503	0
2000.000000	105.093071	0
2030.000000	105.201454	0
2060.000000	105.308228	0
2090.000000	105.413445	0
2120.000000	105.517113	0
2140.000000	105.585411	0
2180.000000	105.720016	0
2200.000000	105.786346	0
2240.000000	105.917099	0
2270.000000	106.013489	0
2300.000000	106.108444	0
2330.000000	106.201950	0
2360.000000	106.293961	0
2400.000000	106.414268	0
2430.000000	106.502632	0
2470.000000	106.617744	0
2500.000000	106.701897	0
2540.000000	106.810905	0
2580.000000	106.915802	0
2620.000000	107.016022	0
2650.000000	107.087677	0
2690.000000	107.177940	0
2720.000000	107.241173	0
2760.000000	107.318802	0
2800.000000	107.387802	0
2850.000000	107.460533	0
2900.000000	107.516586	0
2950.000000	107.554741	0
3000.000000	107.574516	0
3040.000000	107.577362	0
3070.000000	107.572350	0
3110.000000	107.556847	0
3150.000000	107.532280	0
3200.000000	107.490662	0
3250.000000	107.439102	0
3300.000000	107.379738	0
3350.000000	107.314438	0
3400.000000	107.244766	0
3450.000000	107.172028	0
3500.000000	107.097206	0
3550.000000	107.021057	0
3600.000000	106.944214	0
3650.000000	106.867081	0
3700.000000	106.789993	0
3750.000000	106.713165	0
3820.000000	106.606369	0
3870.000000	106.530746	0
3950.000000	106.411041	0
4000.000000	106.337021	0
4060.000000	106.248993	0
4120.000000	106.161728	0
4180.000000	106.075058	0
4250.000000	105.974480	0
4310.000000	105.888412	0
4370.000000	105.802170	0
4440.000000	105.700806	0
4500.000000	105.612762	0
4550.000000	105.538185	0
4620.000000	105.431259	0
4680.000000	105.336617	0
4750.000000	105.221817	0
4820.000000	105.101433	0
4870.000000	105.011574	0
4940.000000	104.879906	0
5000.000000	104.761436	0
5080.000000	104.595642	0
5150.000000	104.443901	0
5220.000000	104.287064	0
5300.000000	104.103447	0
5380.000000	103.917633	0
5450.000000	103.755486	0
5520.000000	103.595917	0
5600.000000	103.419327	0
5700.000000	103.211876	0
5800.000000	103.024529	0
5900.000000	102.862045	0
6000.000000	102.727722	0
6080.000000	102.641418	0
6150.000000	102.581100	0
6220.000000	102.534210	0
6300.000000	102.495667	0
6400.000000	102.467194	0
6500.000000	102.456802	0
6600.000000	102.460495	0
6700.000000	102.474632	0
6800.000000	102.496132	0
6900.000000	102.522354	0
7000.000000	102.551086	0
7100.000000	102.580528	0
7200.000000	102.609131	0
7300.000000	102.635529	0
7400.000000	102.658554	0
7500.000000	102.677124	0
7620.000000	102.692223	0
7750.000000	102.698288	0
7880.000000	102.692444	0
8000.000000	102.675957	0
8120.000000	102.648926	0
8250.000000	102.608414	0
8380.000000	102.557465	0
8500.000000	102.502518	0
8620.000000	102.441269	0
8750.000000	102.369225	0
8850.000000	102.310654	0
9000.000000	102.218987	0
9120.000000	102.143295	0
9250.000000	102.059723	0
9380.000000	101.975197	0
9500.000000	101.896736	0
9620.000000	101.818192	0
9750.000000	101.733284	0
9880.000000	101.648773	0
10000.000000	101.571259	0
