* Measurement data measured by REW V5.20.13
* Source: C:\Users\mezab\Pictures\CammyFi IEM Target.csv
* Format: Comma/Tab/Space delimited data
* Dated: 09-Feb-2023 04:32:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\mezab\Pictures\CammyFi IEM Target.csv Format: Comma/Tab/Space delimited data 482 values loaded, 19 Hz to 19,873 Hz log spaced
* Measurement: CammyFi IEM Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1925.000000	8.375
1950.000000	8.441
1975.000000	8.506
2000.000000	8.568
2030.000000	8.639
2060.000000	8.706
2090.000000	8.771
2120.000000	8.835
2140.000000	8.877
2180.000000	8.957
2200.000000	8.995
2240.000000	9.068
2270.000000	9.121
2300.000000	9.172
2330.000000	9.222
2360.000000	9.270
2400.000000	9.331
2430.000000	9.375
2470.000000	9.431
2500.000000	9.473
2540.000000	9.528
2580.000000	9.581
2620.000000	9.632
2650.000000	9.667
2690.000000	9.713
2720.000000	9.746
2760.000000	9.789
2800.000000	9.831
2850.000000	9.878
2900.000000	9.922
2950.000000	9.963
3000.000000	9.999
3040.000000	10.024
3070.000000	10.040
3110.000000	10.060
3150.000000	10.078
3200.000000	10.097
3250.000000	10.113
3300.000000	10.124
3350.000000	10.132
3400.000000	10.136
3450.000000	10.134
3500.000000	10.128
3550.000000	10.117
3600.000000	10.102
3650.000000	10.082
3700.000000	10.058
3750.000000	10.032
3820.000000	9.990
3870.000000	9.956
3950.000000	9.895
4000.000000	9.854
4060.000000	9.802
4120.000000	9.746
4180.000000	9.687
4250.000000	9.616
4310.000000	9.554
4370.000000	9.489
4440.000000	9.410
4500.000000	9.341
4550.000000	9.284
4620.000000	9.203
4680.000000	9.133
4750.000000	9.053
4820.000000	8.971
4870.000000	8.913
4940.000000	8.833
5000.000000	8.765
5080.000000	8.675
5150.000000	8.597
5220.000000	8.520
5300.000000	8.434
5380.000000	8.350
5450.000000	8.278
5520.000000	8.208
5600.000000	8.128
5700.000000	8.030
5800.000000	7.933
5900.000000	7.839
6000.000000	7.746
6080.000000	7.674
6150.000000	7.612
6220.000000	7.551
6300.000000	7.483
6400.000000	7.398
6500.000000	7.314
6600.000000	7.232
6700.000000	7.149
6800.000000	7.065
6900.000000	6.982
7000.000000	6.898
7100.000000	6.813
7200.000000	6.728
7300.000000	6.642
7400.000000	6.557
7500.000000	6.471
7620.000000	6.366
7750.000000	6.248
7880.000000	6.129
8000.000000	6.019
8120.000000	5.907
8250.000000	5.784
8380.000000	5.660
8500.000000	5.546
8620.000000	5.431
8750.000000	5.304
8850.000000	5.207
9000.000000	5.060
9120.000000	4.943
9250.000000	4.817
9380.000000	4.691
9500.000000	4.576
9620.000000	4.462
9750.000000	4.337
9880.000000	4.214
10000.000000	4.101
10150.000000	3.962
10300.000000	3.826
10440.000000	3.700
10600.000000	3.560
10750.000000	3.430
10900.000000	3.302
11060.000000	3.168
11200.000000	3.052
11380.000000	2.905
11500.000000	2.809
11720.000000	2.638
11800.000000	2.577
12060.000000	2.385
12200.000000	2.284
12410.000000	2.137
12500.000000	2.074
12650.000000	1.972
12800.000000	1.871
13150.000000	1.647
13200.000000	1.616
13400.000000	1.494
13600.000000	1.376
13800.000000	1.260
14000.000000	1.146
14300.000000	0.980
14500.000000	0.874
14750.000000	0.742
15000.000000	0.612
15250.000000	0.482
15500.000000	0.352
15750.000000	0.221
16000.000000	0.087
16250.000000	-0.051
16500.000000	-0.196
16750.000000	-0.347
17000.000000	-0.506
17250.000000	-0.674
17500.000000	-0.852
17750.000000	-1.041
18000.000000	-1.239
18250.000000	-1.447
18500.000000	-1.661
18750.000000	-1.874
19000.000000	-2.077
19250.000000	-2.254
19500.000000	-2.390
19750.000000	-2.471
