* Measurement data measured by REW V5.20 Beta 61
* Source: /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt
* Format: Comma/Tab/Space delimited data
* Dated: Mar 30, 2021 12:20:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt Format: Comma/Tab/Space delimited data 61 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: precogcurve4
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
276.000000	76.300278	1.7830
280.000000	76.241989	2.1872
285.000000	76.176483	2.5908
290.000000	76.117584	2.9089
295.000000	76.065086	3.1450
300.000000	76.018913	3.3003
304.000000	75.986427	3.3674
307.000000	75.964622	3.3847
311.000000	75.938942	3.3646
315.000000	75.917328	3.2878
320.000000	75.900360	2.9666
325.000000	75.888580	2.5868
330.000000	75.881180	2.1740
335.000000	75.877563	1.7447
340.000000	75.877205	1.3138
345.000000	75.879646	0.8950
350.000000	75.884407	0.5007
355.000000	75.890869	0.1599
360.000000	75.896645	0.0251
365.000000	75.903648	-0.0544
370.000000	75.911980	-0.1022
375.000000	75.921539	-0.1236
382.000000	75.936768	-0.1189
387.000000	75.948853	-0.0970
395.000000	75.969955	-0.0415
400.000000	75.984169	-0.0014
406.000000	76.002541	-0.0049
412.000000	76.021759	-0.0077
418.000000	76.041641	-0.0089
425.000000	76.065498	-0.0087
431.000000	76.086357	-0.0075
437.000000	76.107452	-0.0055
444.000000	76.132248	-0.0026
450.000000	76.153534	-0.0002
455.000000	76.171211	0.0000
462.000000	76.195847	0.0000
468.000000	76.216690	0.0000
475.000000	76.240585	0.0000
482.000000	76.263885	0.0000
487.000000	76.280106	0.0000
494.000000	76.302116	0.0000
500.000000	76.320305	0.0000
508.000000	76.344040	0.0000
515.000000	76.363724	0.0000
522.000000	76.382248	0.0000
530.000000	76.401894	0.0000
538.000000	76.419754	0.0000
545.000000	76.433823	0.0000
552.000000	76.446365	0.0000
560.000000	76.458633	0.0000
570.000000	76.469849	0.0000
580.000000	76.477844	0.0000
590.000000	76.482826	0.0000
600.000000	76.484818	0.0000
608.000000	76.484314	0.0000
615.000000	76.482346	0.0000
622.000000	76.478996	0.0000
630.000000	76.473373	0.0000
640.000000	76.461739	0.0000
650.000000	76.447639	0.0000
660.000000	76.431496	0.0000
670.000000	76.413544	0.0000
680.000000	76.394028	0.0000
690.000000	76.373169	0.0000
700.000000	76.351151	0.0000
710.000000	76.328018	0.0000
720.000000	76.302490	0.0000
730.000000	76.276337	0.0000
740.000000	76.250046	0.0000
750.000000	76.223892	0.0000
762.000000	76.193031	0.0000
775.000000	76.160690	0.0000
788.000000	76.129951	0.0000
800.000000	76.103294	0.0000
812.000000	76.077362	0.0000
825.000000	76.051987	0.0000
838.000000	76.029976	0.0000
850.000000	76.012970	0.0000
862.000000	75.999451	0.0000
875.000000	75.989044	0.0000
885.000000	75.984238	0.0000
