
* Freq(Hz)	SPL(dB)	Phase(degrees)
552.000000	105.000000	0
560.000000	105.000000	0
570.000000	105.000000	0
580.000000	105.000000	0
590.000000	105.000000	0
600.000000	105.000000	0
608.000000	105.000000	0
615.000000	105.000000	0
622.000000	105.000008	0
630.000000	105.000008	0
640.000000	105.000008	0
650.000000	105.000015	0
660.000000	105.000015	0
670.000000	105.000031	0
680.000000	105.000046	0
690.000000	105.000076	0
700.000000	105.000107	0
710.000000	105.000168	0
720.000000	105.000229	0
730.000000	105.000336	0
740.000000	105.000481	0
750.000000	105.000664	0
762.000000	105.000999	0
775.000000	105.001534	0
788.000000	105.002319	0
800.000000	105.003372	0
812.000000	105.004829	0
825.000000	105.007065	0
838.000000	105.010193	0
850.000000	105.014130	0
862.000000	105.019432	0
875.000000	105.027077	0
885.000000	105.034645	0
900.000000	105.049461	0
912.000000	105.064919	0
925.000000	105.086082	0
938.000000	105.112549	0
950.000000	105.142380	0
962.000000	105.177917	0
975.000000	105.223351	0
988.000000	105.276253	0
1000.000000	105.331734	0
1015.000000	105.409714	0
1030.000000	105.496452	0
1044.000000	105.584274	0
1060.000000	105.691284	0
1075.000000	105.796661	0
1090.000000	105.905624	0
1106.000000	106.024567	0
1120.000000	106.130119	0
1138.000000	106.266853	0
1150.000000	106.358208	0
1172.000000	106.525345	0
1180.000000	106.585854	0
1206.000000	106.780975	0
1220.000000	106.884903	0
1241.000000	107.039055	0
1250.000000	107.104462	0
1265.000000	107.212555	0
1280.000000	107.319511	0
1315.000000	107.564583	0
1320.000000	107.599075	0
1340.000000	107.735825	0
1360.000000	107.870575	0
1380.000000	108.003403	0
1400.000000	108.134346	0
1430.000000	108.327293	0
1450.000000	108.453705	0
1475.000000	108.609299	0
1500.000000	108.762268	0
1525.000000	108.912720	0
1550.000000	109.060730	0
1575.000000	109.206360	0
1600.000000	109.349701	0
1625.000000	109.490829	0
1650.000000	109.629799	0
1675.000000	109.766678	0
1700.000000	109.901527	0
1725.000000	110.034409	0
1750.000000	110.165382	0
1775.000000	110.294487	0
1800.000000	110.421799	0
1825.000000	110.547340	0
1850.000000	110.671188	0
1875.000000	110.793358	0
1900.000000	110.913910	0
1925.000000	111.032883	0
1950.000000	111.150314	0
1975.000000	111.266251	0
2000.000000	111.380699	0
2030.000000	111.516167	0
2060.000000	111.649612	0
2090.000000	111.781090	0
2120.000000	111.910652	0
2140.000000	111.995979	0
2180.000000	112.164139	0
2200.000000	112.247002	0
2240.000000	112.410286	0
2270.000000	112.530617	0
2300.000000	112.649094	0
2330.000000	112.765701	0
2360.000000	112.880371	0
2400.000000	113.030136	0
2430.000000	113.139977	0
2470.000000	113.282806	0
2500.000000	113.386993	0
2540.000000	113.521530	0
2580.000000	113.650436	0
