* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Aug 9, 2023 5:40:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Target RMS Average 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1700.000000	3.395
1725.000000	3.521
1750.000000	3.651
1775.000000	3.783
1800.000000	3.920
1825.000000	4.061
1850.000000	4.206
1875.000000	4.355
1900.000000	4.509
1925.000000	4.668
1950.000000	4.830
1975.000000	4.996
2000.000000	5.168
2030.000000	5.380
2060.000000	5.598
2090.000000	5.822
2120.000000	6.050
2140.000000	6.204
2180.000000	6.516
2200.000000	6.671
2240.000000	6.981
2270.000000	7.209
2300.000000	7.433
2330.000000	7.650
2360.000000	7.860
2400.000000	8.127
2430.000000	8.318
2470.000000	8.558
2500.000000	8.727
2540.000000	8.941
2580.000000	9.141
2620.000000	9.329
2650.000000	9.463
2690.000000	9.630
2720.000000	9.746
2760.000000	9.888
2800.000000	10.013
2850.000000	10.148
2900.000000	10.257
2950.000000	10.343
3000.000000	10.407
3040.000000	10.443
3070.000000	10.461
3110.000000	10.474
3150.000000	10.475
3200.000000	10.461
3250.000000	10.431
3300.000000	10.386
3350.000000	10.328
3400.000000	10.258
3450.000000	10.178
3500.000000	10.090
3550.000000	9.997
3600.000000	9.899
3650.000000	9.797
3700.000000	9.693
3750.000000	9.586
3820.000000	9.435
3870.000000	9.328
3950.000000	9.158
4000.000000	9.054
4060.000000	8.933
4120.000000	8.817
4180.000000	8.705
4250.000000	8.581
4310.000000	8.482
4370.000000	8.389
4440.000000	8.289
4500.000000	8.211
4550.000000	8.151
4620.000000	8.075
4680.000000	8.015
4750.000000	7.950
4820.000000	7.887
4870.000000	7.841
4940.000000	7.775
5000.000000	7.716
5080.000000	7.632
5150.000000	7.555
5220.000000	7.473
5300.000000	7.376
5380.000000	7.276
5450.000000	7.186
5520.000000	7.094
5600.000000	6.988
5700.000000	6.855
5800.000000	6.724
5900.000000	6.598
6000.000000	6.479
6080.000000	6.392
6150.000000	6.322
6220.000000	6.259
6300.000000	6.196
6400.000000	6.131
6500.000000	6.081
6600.000000	6.046
6700.000000	6.024
6800.000000	6.015
6900.000000	6.016
7000.000000	6.025
7100.000000	6.040
7200.000000	6.057
7300.000000	6.075
7400.000000	6.089
7500.000000	6.097
7620.000000	6.095
7750.000000	6.075
7880.000000	6.035
8000.000000	5.979
8120.000000	5.904
8250.000000	5.800
8380.000000	5.673
8500.000000	5.534
8620.000000	5.372
8750.000000	5.169
8850.000000	4.994
9000.000000	4.706
9120.000000	4.462
9250.000000	4.193
9380.000000	3.928
9500.000000	3.692
9620.000000	3.467
9750.000000	3.236
9880.000000	3.023
10000.000000	2.848
10150.000000	2.662
10300.000000	2.512
10440.000000	2.392
10600.000000	2.247
10750.000000	2.062
10900.000000	1.806
11060.000000	1.454
11200.000000	1.102
11380.000000	0.632
11500.000000	0.334
11720.000000	-0.153
11800.000000	-0.307
12060.000000	-0.725
12200.000000	-0.897
12410.000000	-1.084
12500.000000	-1.142
12650.000000	-1.212
12800.000000	-1.257
13150.000000	-1.308
13200.000000	-1.313
13400.000000	-1.335
13600.000000	-1.365
13800.000000	-1.409
14000.000000	-1.461
14300.000000	-1.538
14500.000000	-1.586
14750.000000	-1.650
15000.000000	-1.720
15250.000000	-1.790
15500.000000	-1.856
15750.000000	-1.915
16000.000000	-1.963
16250.000000	-2.005
16500.000000	-2.042
16750.000000	-2.079
17000.000000	-2.121
17250.000000	-2.172
17500.000000	-2.237
17750.000000	-2.324
18000.000000	-2.443
18250.000000	-2.601
18500.000000	-2.805
18750.000000	-3.055
19000.000000	-3.346
19250.000000	-3.685
19500.000000	-4.098
19750.000000	-4.592
20000.000000	-5.015
