* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Apr 13, 2023 7:36:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Listener 5128 to 711
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
223.030121 57.050
224.646286 57.057
226.274170 57.064
227.913849 57.072
229.565399 57.080
231.228928 57.089
232.904510 57.098
234.592224 57.107
236.292191 57.116
238.004456 57.126
239.729126 57.135
241.466309 57.146
243.216080 57.156
244.978516 57.166
246.753738 57.176
248.541809 57.187
250.342850 57.198
252.156937 57.208
253.984161 57.219
255.824646 57.230
257.678467 57.241
259.545685 57.253
261.426483 57.265
263.320862 57.277
265.229004 57.288
267.150970 57.300
269.086853 57.312
271.036774 57.324
273.000824 57.337
274.979095 57.349
276.971710 57.362
278.978760 57.374
281.000336 57.387
283.036591 57.400
285.087585 57.412
287.153442 57.426
289.234283 57.439
291.330200 57.453
293.441284 57.466
295.567688 57.480
297.709503 57.494
299.866821 57.507
302.039795 57.521
304.228485 57.535
306.433044 57.550
308.653595 57.564
310.890228 57.578
313.143066 57.592
315.412231 57.607
317.697845 57.621
320.000000 57.636
322.318848 57.651
324.654510 57.665
327.007080 57.679
329.376709 57.694
331.763519 57.708
334.167603 57.722
336.589142 57.737
339.028198 57.752
341.484924 57.766
343.959473 57.780
346.451935 57.795
348.962463 57.809
351.491211 57.823
354.038239 57.837
356.603760 57.850
359.187866 57.863
361.790680 57.875
364.412354 57.888
367.053040 57.900
369.712860 57.911
372.391968 57.922
375.090454 57.932
377.808533 57.941
380.546265 57.950
383.303864 57.958
386.081451 57.966
388.879150 57.972
391.697144 57.977
394.535522 57.983
397.394501 57.987
400.274170 57.991
403.174744 57.993
406.096313 57.995
409.039062 57.995
412.003113 57.996
414.988647 57.995
417.995850 57.994
421.024811 57.992
424.075714 57.990
427.148743 57.987
430.244049 57.983
433.361786 57.979
436.502106 57.975
439.665161 57.971
442.851166 57.966
446.060242 57.961
449.292572 57.957
452.548340 57.952
455.827698 57.946
459.130798 57.941
462.457855 57.936
465.809021 57.931
469.184448 57.926
472.584381 57.920
476.008911 57.915
479.458252 57.910
482.932617 57.906
486.432159 57.901
489.957031 57.895
493.507477 57.889
497.083618 57.883
500.685699 57.877
504.313873 57.871
507.968323 57.864
511.649292 57.856
515.356934 57.849
519.091370 57.841
522.852966 57.833
526.641724 57.826
530.458008 57.818
534.301941 57.811
538.173706 57.803
542.073547 57.796
546.001648 57.789
549.958191 57.782
553.943420 57.775
557.957520 57.769
562.000671 57.762
566.073181 57.755
570.175171 57.748
574.306885 57.741
578.468567 57.734
582.660400 57.727
586.882568 57.720
591.135376 57.713
595.419006 57.706
599.733643 57.699
604.079590 57.692
608.456970 57.685
612.866089 57.679
617.307190 57.672
621.780457 57.665
626.286133 57.659
630.824463 57.652
635.395691 57.645
640.000000 57.639
644.637695 57.632
649.309021 57.625
654.014160 57.619
658.753418 57.612
663.527039 57.605
668.335205 57.598
673.178284 57.591
678.056396 57.584
682.969849 57.577
687.918945 57.569
692.903870 57.561
697.924927 57.553
702.982422 57.546
708.076477 57.538
713.207520 57.530
718.375732 57.521
723.581360 57.513
728.824707 57.505
734.106079 57.496
739.425720 57.487
744.783936 57.478
750.180908 57.468
755.617065 57.459
761.092529 57.449
766.607727 57.439
772.162903 57.429
777.758301 57.419
783.394287 57.408
789.071045 57.397
794.789001 57.386
800.548340 57.376
806.349487 57.364
812.192627 57.353
818.078125 57.342
824.006226 57.331
